user_id,card_number_last4,transaction_amount,transaction_type,transaction_date_time,location,is_fraud
435,5244,69.71,Bills,2026-01-05 21:53:01.842223,Lake Victoria,0
344,6495,72.53,Travel,2025-12-04 12:54:01.533419,Welchbury,0
277,1371,136.32,Travel,2025-12-20 10:41:01.779073,Lake Joseph,0
277,7162,63.74,Travel,2025-11-02 22:23:01.519783,East Monica,0
394,2026,2404.14,Shopping,2026-03-09 03:59:02.143363,Ethiopia,1
437,2271,168.25,Bills,2026-03-21 21:42:01.525554,Lake Allison,0
43,4240,128.92,Entertainment,2026-03-20 19:44:01.585027,Lake Natalie,0
376,2308,118.67,Bills,2026-03-15 12:23:01.614526,East Peggy,0
462,1202,39.21,Food,2025-10-26 17:52:01.919476,Brianberg,0
94,5028,183.65,Bills,2025-12-12 16:16:02.086506,Port Carlos,0
413,6199,186.73,Bills,2025-11-11 16:35:01.949818,Port Jayport,0
424,7066,4451.99,Shopping,2025-11-05 07:34:02.144005,Belarus,1
40,2556,104.4,Entertainment,2025-09-30 12:01:01.914871,Curtisshire,0
183,2817,59.97,Shopping,2026-02-22 21:50:01.827239,Chloemouth,0
345,4651,3198.02,Shopping,2025-12-06 07:05:02.143990,Jersey,1
323,6732,130.39,Travel,2026-03-07 00:08:01.935772,West Paigechester,0
479,5538,98.55,Bills,2025-11-26 22:30:01.651598,Smithberg,0
320,7704,54.57,Shopping,2025-12-04 13:37:02.043945,South Darleneborough,0
36,8392,88.21,Travel,2025-10-23 13:04:01.927965,Henrystad,0
436,0291,89.5,Bills,2025-11-04 10:14:02.089479,Lake Elizabeth,0
324,4315,2129.35,Transfer,2025-10-10 07:14:02.146055,Congo,1
415,5367,31.38,Travel,2025-11-20 23:25:01.623514,New Jennifer,0
126,7047,13.79,Shopping,2026-01-29 20:07:01.842769,North Ethan,0
330,0324,30.91,Food,2025-10-21 12:30:01.971294,Christophertown,0
28,8023,150.48,Bills,2025-10-03 17:43:02.136133,Gonzalesport,0
387,6782,118.54,Shopping,2025-10-23 14:30:01.647661,Doyletown,0
70,4643,10.05,Travel,2025-12-01 21:14:01.682663,Port Caitlin,0
346,6136,44.45,Entertainment,2026-01-25 12:04:02.137511,Bennettborough,0
473,8157,33.23,Entertainment,2025-10-23 12:26:01.712385,Collierton,0
458,0564,4127.7,Travel,2025-11-10 07:36:02.144914,Niue,1
441,1847,98.59,Entertainment,2025-11-09 18:47:01.524601,South Rachel,0
351,8415,151.91,Bills,2025-12-13 19:43:01.901664,New Ashley,0
496,9332,44.39,Shopping,2026-01-29 16:43:01.957608,North Brianna,0
109,9809,103.36,Entertainment,2025-11-16 23:12:01.723528,Peterhaven,0
484,1461,29.06,Shopping,2026-02-24 10:48:01.530646,Mcgrathbury,0
